,Feeder Name,Species,Date Time
0,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:22:55
1,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:23:16
2,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:23:43
3,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:24:11
4,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:24:24
5,"Madison,WI,USA",321 Haemorhous purpureus (Purple Finch),2023-03-10 07:24:40
6,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:25:00
7,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:25:19
8,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:25:43
9,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:26:20
10,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:26:36
11,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:26:52
12,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:27:41
13,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:27:52
14,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:28:12
15,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:28:55
16,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:29:07
17,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:29:19
18,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:29:30
19,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:30:26
20,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:30:36
21,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:31:21
22,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:31:48
23,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:33:22
24,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:33:42
25,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:33:57
26,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:34:15
27,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:38:53
28,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:50:49
29,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:51:05
30,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:51:18
31,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 07:52:05
32,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:52:39
33,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:53:08
34,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:53:28
35,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:54:49
36,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 07:55:18
37,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 08:06:46
38,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 08:07:10
39,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 08:09:22
40,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 08:09:50
41,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:10:28
42,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:14:16
43,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:15:49
44,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:16:04
45,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:19:00
46,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:19:37
47,"Madison,WI,USA",321 Haemorhous purpureus (Purple Finch),2023-03-10 08:30:53
48,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:32:50
49,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:33:59
50,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:47:33
51,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:47:55
52,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:58:09
53,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:58:17
54,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:58:42
55,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 08:59:01
56,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:07:15
57,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:08:54
58,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:09:16
59,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:09:28
60,"Madison,WI,USA",302 Streptopelia decaocto (Eurasian Collared-Dove),2023-03-10 09:09:36
61,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:13:21
62,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:13:37
63,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:27:26
64,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:30:04
65,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:30:10
66,"Madison,WI,USA",671 Passer domesticus (House Sparrow),2023-03-10 09:30:49
67,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:34:13
68,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:37:27
69,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:38:01
70,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:38:47
71,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:39:09
72,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:42:29
73,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:42:50
74,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:43:17
75,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:49:25
76,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 09:49:37
77,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:50:20
78,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:50:49
79,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 09:50:59
80,"Madison,WI,USA",147 Quiscalus quiscula (Common Grackle),2023-03-10 09:52:05
81,"Madison,WI,USA",147 Quiscalus quiscula (Common Grackle),2023-03-10 09:52:33
82,"Madison,WI,USA",147 Quiscalus quiscula (Common Grackle),2023-03-10 09:54:05
83,"Madison,WI,USA",167 Junco hyemalis hyemalis (Slate-colored Junco),2023-03-10 10:07:18
84,"Madison,WI,USA",671 Passer domesticus (House Sparrow),2023-03-10 10:09:11
85,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:16:14
86,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:24:04
87,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:24:11
88,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:24:33
89,"Madison,WI,USA",193 Junco hyemalis (Dark-eyed Junco),2023-03-10 10:29:47
90,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:34:24
91,"Madison,WI,USA",321 Haemorhous purpureus (Purple Finch),2023-03-10 10:35:38
92,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:35:49
93,"Madison,WI,USA",671 Passer domesticus (House Sparrow),2023-03-10 10:36:32
94,"Madison,WI,USA",320 Haemorhous mexicanus (House Finch),2023-03-10 10:39:17
95,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 10:41:04
96,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 10:41:21
97,"Madison,WI,USA",441 Zenaida macroura (Mourning Dove),2023-03-10 10:41:55
98,"Madison,WI,USA",730 Spinus tristis (American Goldfinch),2023-03-10 10:42:16
